admin@sonic:~$ show processes cpu
top - 13:28:01 up  1:38,  2 users,  load average: 0.53, 0.40, 0.49
Tasks: 247 total,   1 running, 241 sleeping,   0 stopped,   5 zombie
%Cpu(s):  7.8 us,  6.3 sy,  0.0 ni, 87.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3903.3 total,    495.2 free,   1977.0 used,   1431.0 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   1679.6 avail Mem

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3242 root      20   0 2359108 499280 142752 S  51.0  53.5  17:12.24 kthreadd
   6363 root      20   0  126180  35840  13644 S  55.5   0.9   7:27.14 python3
  56296 admin     20   0   10668   3856   3188 R   6.2   6.1   0:00.02 top
      1 root      20   0   99864  11160   7908 S   0.0   0.3   0:15.75 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 syncd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
     10 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_rude_
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_trace
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.39 ksoftirqd/0
     13 root      20   0       0      0      0 I   0.0   0.0   0:08.91 rcu_sched
     14 root      rt   0       0      0      0 S   0.0   0.0   0:00.04 migration/0
     15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     17 root      rt   0       0      0      0 S   0.0   0.0   0:00.15 migration/1
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.37 ksoftirqd/1
     20 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0H-events_highpri
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     22 root      rt   0       0      0      0 S   0.0   0.0   0:00.14 migration/2
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.30 ksoftirqd/2
     24 root      20   0       0      0      0 I   0.0   0.0   0:00.81 kworker/2:0-mm_percpu_wq
     25 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0H-events_highpri
     26 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     27 root      rt   0       0      0      0 S   0.0   0.0   0:00.14 migration/3
     28 root      20   0       0      0      0 S   0.0   0.0   0:00.24 ksoftirqd/3
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0H-events_highpri
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
     36 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
     37 root      20   0       0      0      0 S   0.0   0.0   0:00.07 kauditd
     38 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungtaskd
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
     40 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
     41 root      20   0       0      0      0 S   0.0   0.0   0:00.29 kcompactd0
     42 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     43 root      39  19       0      0      0 S   0.0   0.0   0:00.57 khugepaged
     62 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
     63 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     64 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_punt_bio
     65 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
     66 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
     67 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
     68 root       0 -20       0      0      0 I   0.0   0.0   0:00.14 kworker/0:1H-kblockd
     70 root      20   0       0      0      0 I   0.0   0.0   0:00.99 kworker/3:1-mm_percpu_wq
     71 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
     72 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
     73 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-aerdrv
     74 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-aerdrv
     75 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-pcie-dpc
     76 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-aerdrv
     77 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-pcie-dpc
     78 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-aerdrv
     79 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-pcie-dpc
     80 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-aerdrv
     81 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_thermal_pm
     82 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addrconf
     91 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
     94 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-shrink
     95 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u9:0
    118 root       0 -20       0      0      0 I   0.0   0.0   0:00.14 kworker/3:1H-kblockd
    147 root       0 -20       0      0      0 I   0.0   0.0   0:00.11 kworker/2:1H-kblockd
    149 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    150 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ixgbe
    151 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_0
    152 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
    153 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_1
    154 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_1
    155 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_2
    156 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_2
    157 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_3
    158 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_3
    159 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_4
    160 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_4
    162 root      20   0       0      0      0 I   0.0   0.0   0:00.75 kworker/1:2-mm_percpu_wq
    180 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
    181 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-reset-wq
    182 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-delete-wq
    204 root       0 -20       0      0      0 I   0.0   0.0   0:00.16 kworker/1:1H-kblockd
    216 root      20   0       0      0      0 S   0.0   0.0   0:00.25 jbd2/sda3-8
    217 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
    223 root       0 -20       0      0      0 S   0.0   0.0   0:00.71 loop0
    251 root       0 -20       0      0      0 S   0.0   0.0   0:00.35 loop1
    252 root      20   0       0      0      0 S   0.0   0.0   0:00.15 jbd2/loop1-8
    253 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
    312 root      20   0   40428  11660   8500 S   0.0   0.3   0:01.50 systemd-journal
