Time,Total,Used,Free,Other
Tue 01 Nov 2022 01:57:25 PM UTC,3578,2346,186,1046
Tue 01 Nov 2022 01:57:53 PM UTC,3578,2351,181,1046
Tue 01 Nov 2022 01:58:21 PM UTC,3578,2352,180,1046
Tue 01 Nov 2022 01:58:49 PM UTC,3578,2402,130,1046
Tue 01 Nov 2022 01:59:17 PM UTC,3578,2354,177,1047
Tue 01 Nov 2022 01:59:45 PM UTC,3578,2354,177,1047
Tue 01 Nov 2022 02:00:13 PM UTC,3578,2354,178,1046
Tue 01 Nov 2022 02:00:41 PM UTC,3578,2354,178,1046
Tue 01 Nov 2022 02:01:09 PM UTC,3578,2353,179,1046
Tue 01 Nov 2022 02:01:37 PM UTC,3578,2352,180,1046
Tue 01 Nov 2022 02:02:05 PM UTC,3578,2354,177,1047
Tue 01 Nov 2022 02:02:33 PM UTC,3578,2354,177,1047
Tue 01 Nov 2022 02:03:01 PM UTC,3578,2357,175,1046
Tue 01 Nov 2022 02:03:31 PM UTC,3578,2353,179,1046
Tue 01 Nov 2022 02:04:00 PM UTC,3578,2354,178,1046
Tue 01 Nov 2022 02:04:29 PM UTC,3578,2354,177,1047
Tue 01 Nov 2022 02:04:57 PM UTC,3578,2373,158,1047
Tue 01 Nov 2022 02:05:25 PM UTC,3578,2353,178,1047
Tue 01 Nov 2022 02:05:53 PM UTC,3578,2355,176,1047
Tue 01 Nov 2022 02:06:21 PM UTC,3578,2354,177,1047
Tue 01 Nov 2022 02:06:50 PM UTC,3578,2385,146,1047
Tue 01 Nov 2022 02:07:17 PM UTC,3578,2355,176,1047
Tue 01 Nov 2022 02:07:45 PM UTC,3578,2353,179,1046
Tue 01 Nov 2022 02:08:14 PM UTC,3578,2353,178,1047
Tue 01 Nov 2022 02:08:43 PM UTC,3578,2360,171,1047
Tue 01 Nov 2022 02:09:10 PM UTC,3578,2353,194,1031
Tue 01 Nov 2022 02:09:40 PM UTC,3578,2350,197,1031
Tue 01 Nov 2022 02:10:09 PM UTC,3578,2352,195,1031
Tue 01 Nov 2022 02:10:37 PM UTC,3578,2352,195,1031
Tue 01 Nov 2022 02:11:06 PM UTC,3578,2370,177,1031
